region_id,koppen_zone
77b7f478-b3a0-4386-aaa1-c22cd3774af5,Cfa
ded535f0-7c1c-4d60-9f0b-1b3958709dd5,Dfb
8c3f925e-6abf-4f8e-9a3f-cfd73b16dfba,Dfb
fe800444-9044-49f4-b87e-fe4c9fdef38b,Dfb
772ab51a-c941-49a6-ad79-0f5bb8d46b1f,Dfa
3302d989-4068-41d6-9d52-df7ed93363b0,Dfb
4166fc94-52d9-45d7-aa47-20b134fcf909,Dfb
68778842-c2ba-48a3-bbfe-daf02376223a,Dfb
01ab8962-db3d-49ef-af56-b877ce4f59d7,Dfb
b58f2780-49bc-4556-8094-63396c9f518e,Dfb
9bea4d8a-2264-4cbb-9d78-a3203939105c,Dfa
f64cc017-3ee0-41fb-a6dc-f14db6396b16,Cfa
40f2188d-7f04-4083-a68e-964a1830c7ff,Dfb
a4368da8-315e-41b7-854b-e713d514d876,Dfb
02ac5492-623c-4e5a-b9b6-a6931524f2d7,Dfb
85f2cb33-ce0d-41d9-bd47-de81ac842537,Dfb
a6369632-e35d-4d35-8df3-17d7ed9bb2f0,Cfa
216ae69a-e4e3-4319-a408-54b9fb807570,Dfb
a13f0240-6eb2-4726-a1b2-2e70346d337f,Dfa
3fa523da-dfca-48f1-9642-3a1b40ea1969,Dfa
f1935c38-6539-4796-abb0-bbc8efbc27a2,Cfa
6a45f8a4-fa9d-417c-bd10-f488e3bf9083,Dfa
59c2cfc6-b1ce-4857-865e-38c85e86a6d4,Cfa
3a4aaaa3-28e3-4ae9-97c9-d6bf30f1afb7,Cfa
9374b612-8ca3-4bd8-9cfa-92de5e546912,Dfa
e9757b3e-db11-4a14-8dd9-4748127a3435,Dfb
d18c7a65-685f-4771-99e4-1b04a3cbae29,Dfb
e6a19582-6a4d-43a0-835d-b132907f630f,Cwb
11270cdf-d7c9-4f23-a8c8-fc44126d6fcd,BSh
afcc765a-117b-4a57-8b81-397b36817760,BSh
c7c3cdc4-9fe3-4e97-9a6f-bfc5868865d3,Cwb
493ad2e4-3b3e-4390-b171-047d632d749e,Cfa
67389144-7acd-4556-ac72-f1748b0d628a,BSk
